ESTADO;POPULACAO;REGIAO
AC;881935;NORTE
AL;3337357;NORDESTE
AM;4144597;NORTE
AP;845731;NORTE
BA;14873064;NORDESTE
CE;9132078;NORDESTE
DF;3015268;CENTRO-OESTE
ES;4018650;SUDESTE
GO;7018354;CENTRO-OESTE
MA;7075181;NORDESTE
MG;21168791;SUDESTE
MS;2778986;CENTRO-OESTE
MT;3484466;CENTRO-OESTE
PA;8602865;NORTE
PB;4018127;NORDESTE
PE;9557071;NORDESTE
PI;3273227;NORDESTE
PR;11433957;SUL
RJ;17264943;SUDESTE
RN;3506853;NORDESTE
RO;1777225;NORTE
RR;605761;NORTE
RS;11377239;SUL
SC;7164788;SUL
SE;2298696;NORDESTE
SP;45919049;SUDESTE
TO;1572866;NORTE
